iShares MSCI Japan ETF
Fund Holdings as of,"Nov 10, 2021"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"182,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"4503","ASTELLAS PHARMA INC","Health Care","Equity","100,336,983.23","0.80","100,336,983.23","5,797,050.00","17.31","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6902","DENSO CORP","Consumer Discretionary","Equity","97,693,887.89","0.78","97,693,887.89","1,350,300.00","72.35","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","89,879,201.09","0.72","89,879,201.09","1,122,800.00","80.05","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4543","TERUMO CORP","Health Care","Equity","83,856,097.63","0.67","83,856,097.63","2,009,600.00","41.73","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6752","PANASONIC CORP","Consumer Discretionary","Equity","83,282,373.03","0.67","83,282,373.03","6,874,115.00","12.12","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4911","SHISEIDO LTD","Consumer Staples","Equity","83,068,918.84","0.66","83,068,918.84","1,246,800.00","66.63","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4452","KAO CORP","Consumer Staples","Equity","82,897,548.83","0.66","82,897,548.83","1,501,900.00","55.20","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7733","OLYMPUS CORP","Health Care","Equity","81,891,181.25","0.66","81,891,181.25","3,629,500.00","22.56","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"2413","M3 INC","Health Care","Equity","76,629,647.51","0.61","76,629,647.51","1,375,000.00","55.73","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"5108","BRIDGESTONE CORP","Consumer Discretionary","Equity","76,523,151.75","0.61","76,523,151.75","1,777,400.00","43.05","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"2914","JAPAN TOBACCO INC","Consumer Staples","Equity","76,317,631.36","0.61","76,317,631.36","3,737,300.00","20.42","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6503","MITSUBISHI ELECTRIC CORP","Industrials","Equity","76,090,849.83","0.61","76,090,849.83","5,681,500.00","13.39","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8591","ORIX CORP","Financials","Equity","75,917,122.16","0.61","75,917,122.16","3,802,700.00","19.96","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","74,989,382.38","0.60","74,989,382.38","2,095,600.00","35.78","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6301","KOMATSU LTD","Industrials","Equity","72,498,608.49","0.58","72,498,608.49","2,729,000.00","26.57","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7751","CANON INC","Information Technology","Equity","70,172,175.94","0.56","70,172,175.94","3,114,950.00","22.53","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8750","DAI-ICHI LIFE HOLDINGS INC","Financials","Equity","66,754,007.29","0.53","66,754,007.29","3,172,800.00","21.04","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9022","CENTRAL JAPAN RAILWAY","Industrials","Equity","66,716,342.57","0.53","66,716,342.57","449,000.00","148.59","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6326","KUBOTA CORP","Industrials","Equity","64,602,941.05","0.52","64,602,941.05","3,198,000.00","20.20","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","64,065,493.17","0.51","64,065,493.17","2,855,000.00","22.44","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7309","SHIMANO INC","Consumer Discretionary","Equity","63,572,134.67","0.51","63,572,134.67","231,200.00","274.97","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6869","SYSMEX CORP","Health Care","Equity","62,408,709.01","0.50","62,408,709.01","520,400.00","119.92","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"2502","ASAHI GROUP HOLDINGS LTD","Consumer Staples","Equity","61,344,449.32","0.49","61,344,449.32","1,420,500.00","43.19","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6971","KYOCERA CORP","Information Technology","Equity","60,788,170.84","0.49","60,788,170.84","1,000,300.00","60.77","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9020","EAST JAPAN RAILWAY","Industrials","Equity","58,679,803.34","0.47","58,679,803.34","941,000.00","62.36","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4689","Z HOLDINGS CORP","Communication","Equity","58,431,032.53","0.47","58,431,032.53","8,337,200.00","7.01","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6645","OMRON CORP","Information Technology","Equity","56,394,144.24","0.45","56,394,144.24","577,400.00","97.67","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6178","JAPAN POST HOLDINGS LTD","Financials","Equity","56,347,212.15","0.45","56,347,212.15","7,622,600.00","7.39","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6502","TOSHIBA CORP","Industrials","Equity","54,989,530.75","0.44","54,989,530.75","1,277,500.00","43.04","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6920","LASERTEC CORP","Information Technology","Equity","54,760,212.46","0.44","54,760,212.46","234,800.00","233.22","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","54,632,527.11","0.44","54,632,527.11","3,682,200.00","14.84","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6857","ADVANTEST CORP","Information Technology","Equity","54,023,598.61","0.43","54,023,598.61","622,200.00","86.83","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"1925","DAIWA HOUSE INDUSTRY LTD","Real Estate","Equity","53,584,456.35","0.43","53,584,456.35","1,762,500.00","30.40","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4523","EISAI LTD","Health Care","Equity","53,078,913.13","0.42","53,078,913.13","740,200.00","71.71","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7269","SUZUKI MOTOR CORP","Consumer Discretionary","Equity","53,051,736.10","0.42","53,051,736.10","1,146,000.00","46.29","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4507","SHIONOGI LTD","Health Care","Equity","52,039,342.43","0.42","52,039,342.43","824,300.00","63.13","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7832","BANDAI NAMCO HOLDINGS INC","Consumer Discretionary","Equity","50,601,575.45","0.40","50,601,575.45","621,498.00","81.42","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8113","UNICHARM CORP","Consumer Staples","Equity","50,366,076.99","0.40","50,366,076.99","1,257,000.00","40.07","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8053","SUMITOMO CORP","Industrials","Equity","50,051,953.82","0.40","50,051,953.82","3,514,900.00","14.24","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","49,779,967.52","0.40","49,779,967.52","3,902,400.00","12.76","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8267","AEON LTD","Consumer Staples","Equity","48,375,644.62","0.39","48,375,644.62","2,036,300.00","23.76","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4578","OTSUKA HOLDINGS LTD","Health Care","Equity","47,447,128.75","0.38","47,447,128.75","1,216,400.00","39.01","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6762","TDK CORP","Information Technology","Equity","47,362,653.09","0.38","47,362,653.09","1,206,900.00","39.24","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9843","NITORI HOLDINGS LTD","Consumer Discretionary","Equity","46,496,088.85","0.37","46,496,088.85","249,700.00","186.21","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"2802","AJINOMOTO INC","Consumer Staples","Equity","44,677,582.20","0.36","44,677,582.20","1,454,000.00","30.73","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Financials","Equity","44,467,801.06","0.36","44,467,801.06","1,386,940.00","32.06","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"5401","NIPPON STEEL CORP","Materials","Equity","44,337,371.10","0.35","44,337,371.10","2,669,970.00","16.61","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9735","SECOM LTD","Industrials","Equity","43,927,512.40","0.35","43,927,512.40","652,100.00","67.36","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8002","MARUBENI CORP","Industrials","Equity","42,759,615.91","0.34","42,759,615.91","4,868,100.00","8.78","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4307","NOMURA RESEARCH INSTITUTE LTD","Information Technology","Equity","42,474,593.92","0.34","42,474,593.92","1,043,812.00","40.69","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"2503","KIRIN HOLDINGS LTD","Consumer Staples","Equity","42,341,585.97","0.34","42,341,585.97","2,564,700.00","16.51","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8604","NOMURA HOLDINGS INC","Financials","Equity","42,119,873.58","0.34","42,119,873.58","9,557,100.00","4.41","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8630","SOMPO HOLDINGS INC","Financials","Equity","41,810,498.66","0.33","41,810,498.66","987,850.00","42.32","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9613","NTT DATA CORP","Information Technology","Equity","41,747,686.23","0.33","41,747,686.23","1,965,800.00","21.24","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7201","NISSAN MOTOR LTD","Consumer Discretionary","Equity","40,185,152.54","0.32","40,185,152.54","7,219,700.00","5.57","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"1928","SEKISUI HOUSE LTD","Consumer Discretionary","Equity","40,119,927.57","0.32","40,119,927.57","1,918,900.00","20.91","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"3407","ASAHI KASEI CORP","Materials","Equity","39,342,722.44","0.31","39,342,722.44","3,903,600.00","10.08","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6201","TOYOTA INDUSTRIES CORP","Industrials","Equity","39,310,126.86","0.31","39,310,126.86","456,900.00","86.04","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4684","OBIC LTD","Information Technology","Equity","39,170,747.55","0.31","39,170,747.55","216,800.00","180.68","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"5020","ENEOS HOLDINGS INC","Energy","Equity","38,912,236.85","0.31","38,912,236.85","9,546,195.00","4.08","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6701","NEC CORP","Information Technology","Equity","38,116,000.18","0.30","38,116,000.18","785,100.00","48.55","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9962","MISUMI GROUP INC","Industrials","Equity","37,199,719.06","0.30","37,199,719.06","884,600.00","42.05","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"2801","KIKKOMAN CORP","Consumer Staples","Equity","36,714,147.75","0.29","36,714,147.75","452,100.00","81.21","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7270","SUBARU CORP","Consumer Discretionary","Equity","36,394,208.77","0.29","36,394,208.77","1,916,100.00","18.99","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8309","SUMITOMO MITSUI TRUST HOLDINGS INC","Financials","Equity","35,818,815.12","0.29","35,818,815.12","1,053,432.00","34.00","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8697","JAPAN EXCHANGE GROUP INC","Financials","Equity","35,812,256.71","0.29","35,812,256.71","1,589,400.00","22.53","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Real Estate","Equity","33,593,338.31","0.27","33,593,338.31","965,300.00","34.80","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9101","NIPPON YUSEN","Industrials","Equity","33,574,645.54","0.27","33,574,645.54","503,200.00","66.72","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6988","NITTO DENKO CORP","Materials","Equity","33,237,698.08","0.27","33,237,698.08","442,800.00","75.06","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6506","YASKAWA ELECTRIC CORP","Industrials","Equity","33,105,904.04","0.26","33,105,904.04","748,200.00","44.25","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4188","MITSUBISHI CHEMICAL CORP","Materials","Equity","32,613,588.78","0.26","32,613,588.78","3,982,900.00","8.19","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"3659","NEXON LTD","Communication","Equity","31,820,754.14","0.25","31,820,754.14","1,521,000.00","20.92","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
