Fund Holdings as of,"10/Nov/2021"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"FI.N","GEORG FISCHER AG","Industrials","Equity","1,801,058.66","0.07","1,801,058.66","1,154.00","1,560.71","Switzerland","SIX Swiss Exchange","CHF"
"LEG","LEGGETT & PLATT INC","Consumer Discretionary","Equity","1,797,835.84","0.07","1,797,835.84","41,084.00","43.76","United States","New York Stock Exchange Inc.","USD"
"IMI","IMI PLC","Industrials","Equity","1,796,209.84","0.07","1,796,209.84","75,404.00","23.82","United Kingdom","London Stock Exchange","GBP"
"FRPT","FRESHPET INC","Consumer Staples","Equity","1,791,598.55","0.07","1,791,598.55","14,501.00","123.55","United States","NASDAQ","USD"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","1,790,325.00","0.07","1,790,325.00","8,175.00","219.00","United States","NASDAQ","USD"
"RBREW","ROYAL UNIBREW","Consumer Staples","Equity","1,788,353.14","0.07","1,788,353.14","14,291.00","125.14","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"OZL","OZ MINERALS LTD","Materials","Equity","1,787,341.12","0.07","1,787,341.12","98,731.00","18.10","Australia","Asx - All Markets","AUD"
"LIGHT","SIGNIFY NV","Industrials","Equity","1,786,940.56","0.07","1,786,940.56","36,028.00","49.60","Netherlands","Euronext Amsterdam","EUR"
"KBR","KBR INC","Industrials","Equity","1,782,844.27","0.07","1,782,844.27","39,769.00","44.83","United States","New York Stock Exchange Inc.","USD"
"CHC","CHARTER HALL GROUP STAPLED UNITS","Real Estate","Equity","1,780,570.05","0.07","1,780,570.05","126,481.00","14.08","Australia","Asx - All Markets","AUD"
"VMI","VALMONT INDS INC","Industrials","Equity","1,776,888.96","0.07","1,776,888.96","6,868.00","258.72","United States","New York Stock Exchange Inc.","USD"
"EXPO","EXPONENT INC","Industrials","Equity","1,774,299.60","0.07","1,774,299.60","14,760.00","120.21","United States","NASDAQ","USD"
"CUZ","COUSINS PROPERTIES REIT INC","Real Estate","Equity","1,772,796.90","0.07","1,772,796.90","44,431.00","39.90","United States","New York Stock Exchange Inc.","USD"
"SSB","SOUTHSTATE CORP","Financials","Equity","1,772,226.00","0.07","1,772,226.00","21,288.00","83.25","United States","NASDAQ","USD"
"MDU","MDU RESOURCES GROUP INC","Utilities","Equity","1,772,224.10","0.07","1,772,224.10","60,985.00","29.06","United States","New York Stock Exchange Inc.","USD"
"VVV","VALVOLINE INC","Materials","Equity","1,771,293.40","0.07","1,771,293.40","50,870.00","34.82","United States","New York Stock Exchange Inc.","USD"
