iShares MSCI South Korea ETF
Fund Holdings as of,"Nov 10, 2021"
Inception Date,"May 09, 2000"
Shares Outstanding,"64,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"090430","AMOREPACIFIC CORP","Consumer Staples","Equity","31,091,782.04","0.62","31,091,782.04","203,988.00","152.42","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"009830","HANWHA SOLUTIONS CORP","Materials","Equity","30,281,508.45","0.60","30,281,508.45","1,013,058.00","29.89","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"017670","SK TELECOM LTD","Communication","Equity","28,932,792.24","0.57","28,932,792.24","110,398.00","262.08","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"091990","CELLTRION HEALTHCARE LTD","Health Care","Equity","28,454,148.27","0.56","28,454,148.27","394,864.00","72.06","Korea (South)","Korea Exchange (Kosdaq)","USD","1,180.95","KRW","-"
"018260","SAMSUNG SDS LTD","Information Technology","Equity","28,152,548.37","0.56","28,152,548.37","215,888.00","130.40","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"034220","LG DISPLAY LTD","Information Technology","Equity","27,584,273.59","0.55","27,584,273.59","1,620,679.00","17.02","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"032830","SAMSUNG LIFE LTD","Financials","Equity","26,326,607.22","0.52","26,326,607.22","461,282.00","57.07","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"010950","S-OIL CORP","Energy","Equity","26,141,378.38","0.52","26,141,378.38","316,308.00","82.65","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"011780","KUMHO PETRO CHEMICAL LTD","Materials","Equity","25,434,528.13","0.50","25,434,528.13","185,413.00","137.18","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"028300","HLB INC","Consumer Discretionary","Equity","24,528,925.86","0.49","24,528,925.86","727,825.00","33.70","Korea (South)","Korea Exchange (Kosdaq)","USD","1,180.95","KRW","-"
"010130","KOREA ZINC INC","Materials","Equity","24,433,416.74","0.48","24,433,416.74","58,827.00","415.34","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"000720","HYUNDAI ENGINEERING & CONSTRUCTION","Industrials","Equity","24,054,363.01","0.48","24,054,363.01","568,140.00","42.34","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"021240","COWAY LTD","Consumer Discretionary","Equity","23,636,260.64","0.47","23,636,260.64","353,780.00","66.81","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"028050","SAMSUNG ENGINEERING LTD","Industrials","Equity","23,093,049.16","0.46","23,093,049.16","1,206,714.00","19.14","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"139480","E-MART INC","Consumer Staples","Equity","22,515,869.43","0.45","22,515,869.43","165,156.00","136.33","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"071050","KOREA INVESTMENT HOLDINGS LTD","Financials","Equity","22,451,762.48","0.45","22,451,762.48","307,949.00","72.91","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"005387","HYUNDAI MOTOR S2 PREF","Consumer Discretionary","Equity","22,401,865.45","0.44","22,401,865.45","265,085.00","84.51","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"251270","NETMARBLE CORP","Communication","Equity","22,101,334.52","0.44","22,101,334.52","199,241.00","110.93","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"006800","DAEWOO SECURITIES","Financials","Equity","22,072,428.10","0.44","22,072,428.10","2,955,378.00","7.47","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"161390","HANKOOK TIRE & TECHNOLOGY LTD","Consumer Discretionary","Equity","21,741,379.82","0.43","21,741,379.82","604,129.00","35.99","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"009540","KOREA SHIPBUILDING AND OFFSHORE EN","Industrials","Equity","21,722,783.78","0.43","21,722,783.78","258,865.00","83.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"011070","LG INNOTEK LTD","Information Technology","Equity","21,689,158.73","0.43","21,689,158.73","118,036.00","183.75","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"004020","HYUNDAI STEEL","Materials","Equity","21,539,845.80","0.43","21,539,845.80","631,203.00","34.13","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","21,343,962.40","0.42","21,343,962.40","4,308,744.00","4.95","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"011170","LOTTE CHEMICAL CORP","Materials","Equity","21,295,719.55","0.42","21,295,719.55","119,758.00","177.82","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"011200","HMM LTD","Industrials","Equity","20,660,864.47","0.41","20,660,864.47","913,837.00","22.61","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
