iShares Russell 3000 ETF
Fund Holdings as of,"Nov 09, 2021"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","57,361,139.44","0.45","57,361,139.44","1,098,031.00","52.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","57,062,151.06","0.45","57,062,151.06","328,283.00","173.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","56,935,927.95","0.45","56,935,927.95","380,105.00","149.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","55,651,534.40","0.44","55,651,534.40","672,770.00","82.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","54,836,377.60","0.43","54,836,377.60","1,071,023.00","51.20","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","54,684,329.22","0.43","54,684,329.22","1,096,098.00","49.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","54,246,986.64","0.43","54,246,986.64","469,224.00","115.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","50,384,493.57","0.40","50,384,493.57","168,403.00","299.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","49,996,403.20","0.39","49,996,403.20","197,888.00","252.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","49,839,252.96","0.39","49,839,252.96","298,904.00","166.74","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","47,755,516.68","0.38","47,755,516.68","320,679.00","148.92","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","46,769,333.59","0.37","46,769,333.59","1,892,729.00","24.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","46,694,326.18","0.37","46,694,326.18","244,742.00","190.79","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","44,118,430.58","0.35","44,118,430.58","519,407.00","84.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","43,842,453.03","0.34","43,842,453.03","187,433.00","233.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","43,622,065.90","0.34","43,622,065.90","356,710.00","122.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","42,245,218.26","0.33","42,245,218.26","446,614.00","94.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","41,932,646.75","0.33","41,932,646.75","184,117.00","227.75","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","41,632,027.00","0.33","41,632,027.00","172,747.00","241.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","41,558,739.60","0.33","41,558,739.60","67,820.00","612.78","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","40,262,979.40","0.32","40,262,979.40","191,765.00","209.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
